# reactions: 4
Time	S1	S2	S3	Fired Reaction
0.0	100000.0	0.0	0.0	 0
1.1320235066778445e-07	99998.0	1.0	0.0	 2
4.2480009396947284e-07	99996.0	2.0	0.0	 2
5.17590871924028e-07	99994.0	3.0	0.0	 2
9.1049436793335e-07	99992.0	4.0	0.0	 2
1.1790766394363655e-06	99990.0	5.0	0.0	 2
1.4227148884048713e-06	99988.0	6.0	0.0	 2
1.4821041861163894e-06	99986.0	7.0	0.0	 2
1.4850650937407825e-06	99984.0	8.0	0.0	 2
1.7038698650922435e-06	99982.0	9.0	0.0	 2
1.7096345630329225e-06	99980.0	10.0	0.0	 2
2.0271656469828313e-06	99978.0	11.0	0.0	 2
2.1230011480430007e-06	99976.0	12.0	0.0	 2
2.1537326061259573e-06	99975.0	12.0	0.0	 1
2.2600998117156607e-06	99973.0	13.0	0.0	 2
2.3476515697598753e-06	99971.0	14.0	0.0	 2
2.492070721851342e-06	99969.0	15.0	0.0	 2
2.7726985803801514e-06	99967.0	16.0	0.0	 2
3.0203349676155393e-06	99965.0	17.0	0.0	 2
3.022206342262197e-06	99963.0	18.0	0.0	 2
3.1187413373678548e-06	99961.0	19.0	0.0	 2
3.346091971409634e-06	99959.0	20.0	0.0	 2
3.372442938979914e-06	99957.0	21.0	0.0	 2
3.5575004390542633e-06	99955.0	22.0	0.0	 2
3.5846356115309614e-06	99953.0	23.0	0.0	 2
3.662353472999701e-06	99951.0	24.0	0.0	 2
3.700048602533634e-06	99949.0	25.0	0.0	 2
3.856708501661181e-06	99947.0	26.0	0.0	 2
4.054283209404433e-06	99945.0	27.0	0.0	 2
4.124730063175732e-06	99943.0	28.0	0.0	 2
4.186616965473479e-06	99941.0	29.0	0.0	 2
4.2159168352152285e-06	99939.0	30.0	0.0	 2
4.300492498001724e-06	99937.0	31.0	0.0	 2
4.306600166603075e-06	99935.0	32.0	0.0	 2
4.507400203226044e-06	99933.0	33.0	0.0	 2
4.5919934288745316e-06	99931.0	34.0	0.0	 2
4.746711732410345e-06	99929.0	35.0	0.0	 2
4.768229809160239e-06	99927.0	36.0	0.0	 2
5.299213201683397e-06	99925.0	37.0	0.0	 2
5.423933662324577e-06	99923.0	38.0	0.0	 2
5.829280547174013e-06	99921.0	39.0	0.0	 2
5.891415293977898e-06	99919.0	40.0	0.0	 2
6.05435883965342e-06	99917.0	41.0	0.0	 2
6.137975740982021e-06	99915.0	42.0	0.0	 2
6.188152996475445e-06	99913.0	43.0	0.0	 2
6.3294484026898846e-06	99911.0	44.0	0.0	 2
6.688201763759137e-06	99909.0	45.0	0.0	 2
6.895839318670103e-06	99907.0	46.0	0.0	 2
6.953362138297539e-06	99905.0	47.0	0.0	 2
6.971778891759467e-06	99903.0	48.0	0.0	 2
6.983327525555611e-06	99901.0	49.0	0.0	 2
7.007241705634088e-06	99899.0	50.0	0.0	 2
7.010820219861556e-06	99897.0	51.0	0.0	 2
7.0226303107003755e-06	99895.0	52.0	0.0	 2
7.044710332260204e-06	99893.0	53.0	0.0	 2
7.077787446302342e-06	99891.0	54.0	0.0	 2
7.090296861515281e-06	99889.0	55.0	0.0	 2
7.208829187272964e-06	99887.0	56.0	0.0	 2
7.28205992445243e-06	99885.0	57.0	0.0	 2
7.3137528658042e-06	99883.0	58.0	0.0	 2
