# reactions: 4
Time	S1	S2	S3	Fired Reaction
0.0	100000.0	0.0	0.0	 0
1.9058243324404098e-07	99998.0	1.0	0.0	 2
2.0136628613398625e-07	99996.0	2.0	0.0	 2
2.452377064535245e-07	99994.0	3.0	0.0	 2
3.4730609762217903e-07	99992.0	4.0	0.0	 2
3.473096372179168e-07	99990.0	5.0	0.0	 2
4.1984668964400735e-07	99988.0	6.0	0.0	 2
5.222505334390905e-07	99986.0	7.0	0.0	 2
5.506614117923502e-07	99984.0	8.0	0.0	 2
5.608533613320577e-07	99982.0	9.0	0.0	 2
6.695301363097517e-07	99980.0	10.0	0.0	 2
7.049536245744177e-07	99978.0	11.0	0.0	 2
1.1442653175925892e-06	99976.0	12.0	0.0	 2
1.1772795194949193e-06	99974.0	13.0	0.0	 2
1.435992541091227e-06	99972.0	14.0	0.0	 2
1.446555651204741e-06	99970.0	15.0	0.0	 2
1.4861103382049763e-06	99968.0	16.0	0.0	 2
1.5760545294895117e-06	99966.0	17.0	0.0	 2
1.5933594655418604e-06	99964.0	18.0	0.0	 2
1.6242024204414345e-06	99962.0	19.0	0.0	 2
1.6729742840672083e-06	99960.0	20.0	0.0	 2
1.9058286743417544e-06	99958.0	21.0	0.0	 2
2.0496755750773007e-06	99956.0	22.0	0.0	 2
2.1111492937027824e-06	99954.0	23.0	0.0	 2
2.3473306403553567e-06	99952.0	24.0	0.0	 2
2.3575638594249462e-06	99950.0	25.0	0.0	 2
2.382574274612314e-06	99948.0	26.0	0.0	 2
2.4111644695470538e-06	99946.0	27.0	0.0	 2
2.435656309721207e-06	99944.0	28.0	0.0	 2
2.4385598318202395e-06	99942.0	29.0	0.0	 2
2.511386382344394e-06	99940.0	30.0	0.0	 2
2.7756454466235925e-06	99938.0	31.0	0.0	 2
2.8496977988708247e-06	99936.0	32.0	0.0	 2
2.984614016829749e-06	99934.0	33.0	0.0	 2
3.0013657784344787e-06	99932.0	34.0	0.0	 2
3.075664331268232e-06	99930.0	35.0	0.0	 2
3.2539142985041717e-06	99928.0	36.0	0.0	 2
3.342223206706384e-06	99926.0	37.0	0.0	 2
3.352970801861118e-06	99924.0	38.0	0.0	 2
3.4739356637768637e-06	99922.0	39.0	0.0	 2
3.475421652476576e-06	99920.0	40.0	0.0	 2
3.5531182531735824e-06	99918.0	41.0	0.0	 2
3.622382306541263e-06	99916.0	42.0	0.0	 2
3.960721092119314e-06	99914.0	43.0	0.0	 2
3.990844731392857e-06	99912.0	44.0	0.0	 2
4.051001238824419e-06	99910.0	45.0	0.0	 2
4.459166853306899e-06	99908.0	46.0	0.0	 2
4.506725639740406e-06	99906.0	47.0	0.0	 2
4.704686440125995e-06	99904.0	48.0	0.0	 2
4.826000172168687e-06	99902.0	49.0	0.0	 2
4.93414031939719e-06	99900.0	50.0	0.0	 2
5.013029471957739e-06	99898.0	51.0	0.0	 2
5.0203354737654445e-06	99896.0	52.0	0.0	 2
5.087900496759534e-06	99894.0	53.0	0.0	 2
5.099315655107059e-06	99892.0	54.0	0.0	 2
5.106689747842996e-06	99890.0	55.0	0.0	 2
5.1775492442910036e-06	99888.0	56.0	0.0	 2
5.31640338306959e-06	99886.0	57.0	0.0	 2
5.5750440536802916e-06	99884.0	58.0	0.0	 2
5.861025743827939e-06	99882.0	59.0	0.0	 2
5.9551118012437844e-06	99880.0	60.0	0.0	 2
6.039456010460568e-06	99878.0	61.0	0.0	 2
6.2957508049466455e-06	99876.0	62.0	0.0	 2
6.3140614476461725e-06	99874.0	63.0	0.0	 2
6.4024928238414e-06	99872.0	64.0	0.0	 2
6.4036115597166315e-06	99870.0	65.0	0.0	 2
6.4232390006732995e-06	99868.0	66.0	0.0	 2
6.582981437883319e-06	99866.0	67.0	0.0	 2
6.75780434118313e-06	99864.0	68.0	0.0	 2
6.822994416668041e-06	99862.0	69.0	0.0	 2
6.887816957913998e-06	99860.0	70.0	0.0	 2
6.931747580501583e-06	99858.0	71.0	0.0	 2
7.290834634483536e-06	99856.0	72.0	0.0	 2
7.313267602659703e-06	99854.0	73.0	0.0	 2
7.50465914453161e-06	99852.0	74.0	0.0	 2
7.59399217095576e-06	99850.0	75.0	0.0	 2
7.611072560355863e-06	99848.0	76.0	0.0	 2
7.624262589818158e-06	99846.0	77.0	0.0	 2
7.91211336391728e-06	99844.0	78.0	0.0	 2
7.925638926887976e-06	99842.0	79.0	0.0	 2
7.96432798917395e-06	99840.0	80.0	0.0	 2
8.173313645846143e-06	99838.0	81.0	0.0	 2
8.236520278282042e-06	99836.0	82.0	0.0	 2
8.343057203444416e-06	99834.0	83.0	0.0	 2
8.349430425883874e-06	99832.0	84.0	0.0	 2
8.376615390408937e-06	99830.0	85.0	0.0	 2
8.418219324437416e-06	99828.0	86.0	0.0	 2
8.797992503217821e-06	99826.0	87.0	0.0	 2
8.840455666733151e-06	99824.0	88.0	0.0	 2
9.063005288673192e-06	99822.0	89.0	0.0	 2
9.106095487039212e-06	99820.0	90.0	0.0	 2
9.107993544691617e-06	99818.0	91.0	0.0	 2
9.141784413638718e-06	99816.0	92.0	0.0	 2
9.249663075133838e-06	99814.0	93.0	0.0	 2
9.434334576898599e-06	99812.0	94.0	0.0	 2
9.451838741225746e-06	99810.0	95.0	0.0	 2
9.480115247875424e-06	99808.0	96.0	0.0	 2
9.607117239580562e-06	99806.0	97.0	0.0	 2
9.624543556709255e-06	99804.0	98.0	0.0	 2
9.796518888979241e-06	99802.0	99.0	0.0	 2
9.864800955896931e-06	99800.0	100.0	0.0	 2
9.924421535180924e-06	99798.0	101.0	0.0	 2
1.0013870025509738e-05	99796.0	102.0	0.0	 2
1.0076203880782037e-05	99794.0	103.0	0.0	 2
1.012972897218984e-05	99792.0	104.0	0.0	 2
1.0151641221034198e-05	99790.0	105.0	0.0	 2
1.0190179344936946e-05	99788.0	106.0	0.0	 2
1.0218069168525384e-05	99786.0	107.0	0.0	 2
1.0308227882061291e-05	99784.0	108.0	0.0	 2
1.0367792112332128e-05	99782.0	109.0	0.0	 2
1.053634802633634e-05	99780.0	110.0	0.0	 2
1.0633616389970565e-05	99778.0	111.0	0.0	 2
1.0637529079250764e-05	99776.0	112.0	0.0	 2
1.0743399156440306e-05	99774.0	113.0	0.0	 2
1.0782963257125586e-05	99772.0	114.0	0.0	 2
1.0918568379443437e-05	99771.0	114.0	0.0	 1
1.0991283669510816e-05	99769.0	115.0	0.0	 2
1.1294613708390045e-05	99767.0	116.0	0.0	 2
1.1331552700204216e-05	99765.0	117.0	0.0	 2
1.1522886939055089e-05	99763.0	118.0	0.0	 2
1.1792301750772083e-05	99761.0	119.0	0.0	 2
1.1853996316194761e-05	99759.0	120.0	0.0	 2
1.1855034536927613e-05	99757.0	121.0	0.0	 2
1.1947221868748186e-05	99755.0	122.0	0.0	 2
1.2004004254670542e-05	99753.0	123.0	0.0	 2
1.2110726838826716e-05	99751.0	124.0	0.0	 2
1.2270115143269837e-05	99749.0	125.0	0.0	 2
1.2277913771164259e-05	99747.0	126.0	0.0	 2
1.2619426752851146e-05	99745.0	127.0	0.0	 2
1.306946936690288e-05	99743.0	128.0	0.0	 2
1.314658485467452e-05	99741.0	129.0	0.0	 2
1.318111731028752e-05	99739.0	130.0	0.0	 2
1.3339201730402547e-05	99737.0	131.0	0.0	 2
1.34200821386635e-05	99735.0	132.0	0.0	 2
1.3497739421881962e-05	99733.0	133.0	0.0	 2
1.3527041732894238e-05	99731.0	134.0	0.0	 2
1.354812793488711e-05	99729.0	135.0	0.0	 2
1.3738391540089435e-05	99727.0	136.0	0.0	 2
1.395345266794141e-05	99725.0	137.0	0.0	 2
1.433979761385996e-05	99723.0	138.0	0.0	 2
1.4364031057659018e-05	99721.0	139.0	0.0	 2
1.4384787357520404e-05	99719.0	140.0	0.0	 2
1.4397465493378108e-05	99717.0	141.0	0.0	 2
1.4448985019758037e-05	99715.0	142.0	0.0	 2
1.4451831410923554e-05	99713.0	143.0	0.0	 2
1.4476936715595867e-05	99711.0	144.0	0.0	 2
1.4699377281435527e-05	99709.0	145.0	0.0	 2
1.4771668324920468e-05	99707.0	146.0	0.0	 2
1.479751769043609e-05	99705.0	147.0	0.0	 2
1.4864314732155472e-05	99703.0	148.0	0.0	 2
1.4878265206931027e-05	99701.0	149.0	0.0	 2
1.5092723745789987e-05	99699.0	150.0	0.0	 2
1.5112124166712418e-05	99697.0	151.0	0.0	 2
1.515307880340483e-05	99695.0	152.0	0.0	 2
1.5303055303385842e-05	99693.0	153.0	0.0	 2
1.55040872994323e-05	99691.0	154.0	0.0	 2
1.581520101629486e-05	99689.0	155.0	0.0	 2
1.599795787928423e-05	99687.0	156.0	0.0	 2
1.613351899722213e-05	99685.0	157.0	0.0	 2
1.6144805147361807e-05	99683.0	158.0	0.0	 2
1.6329267954620083e-05	99681.0	159.0	0.0	 2
1.6502274485481025e-05	99679.0	160.0	0.0	 2
1.6641329157874756e-05	99677.0	161.0	0.0	 2
1.6660768442735218e-05	99675.0	162.0	0.0	 2
1.6722226269595146e-05	99673.0	163.0	0.0	 2
1.6876929251442307e-05	99671.0	164.0	0.0	 2
1.701571237986509e-05	99669.0	165.0	0.0	 2
1.709307444736991e-05	99667.0	166.0	0.0	 2
1.7121353523088147e-05	99665.0	167.0	0.0	 2
1.712882308952372e-05	99663.0	168.0	0.0	 2
1.720762442203957e-05	99661.0	169.0	0.0	 2
1.7256963512634053e-05	99659.0	170.0	0.0	 2
1.7328788790877454e-05	99657.0	171.0	0.0	 2
1.7546952731851874e-05	99655.0	172.0	0.0	 2
1.7645154321645464e-05	99653.0	173.0	0.0	 2
1.7671680477686623e-05	99651.0	174.0	0.0	 2
1.7676450101254667e-05	99649.0	175.0	0.0	 2
